Campaign,Code,Discount,Sensitivity
Halloween,WIZ-TRI-924,30%,Unclassified
Summer,WIZ-WEQ-367,20%,Confidential
Cyber Monday,WIZ-WRF-557,Buy1Get1,Confidential
Summer,WIZ-BED-538,Buy1Get1,Unclassified
Back to School,WIZ-YAH-549,30%,Confidential
Summer,WIZ-DPO-126,30%,Confidential - Promo Only
Easter,WIZ-CVR-338,Buy1Get1,Confidential
Cyber Monday,WIZ-NSF-553,20%,Unclassified
Black Friday,WIZ-CHY-888,10%,Secret
Flash,WIZ-JMK-962,20%,Confidential
Cyber Monday,WIZ-FWE-521,Free Shipping,Confidential
Flash,WIZ-NPQ-682,Buy1Get1,Confidential - Promo Only
Back to School,WIZ-QIE-018,30%,Confidential - Promo Only
Valentine,WIZ-DXG-548,Buy1Get1,Confidential - Promo Only
Valentine,WIZ-AHC-365,Buy1Get1,Confidential - Promo Only
Back to School,WIZ-QRX-020,10%,Confidential - Promo Only
Valentine,WIZ-NXF-574,30%,Secret
Cyber Monday,WIZ-ENP-393,Free Shipping,Confidential
Flash,WIZ-GPW-126,20%,Confidential
Flash,WIZ-YRU-553,30%,Confidential - Promo Only
Valentine,WIZ-ITO-659,20%,Secret
Holiday,WIZ-AES-100,30%,Unclassified
Halloween,WIZ-AFM-289,30%,Secret
Easter,WIZ-AKS-049,10%,Secret
Cyber Monday,WIZ-CRQ-824,Free Shipping,Confidential - Promo Only
Cyber Monday,WIZ-DMM-111,20%,Secret
Back to School,WIZ-VZS-688,10%,Confidential
Flash,WIZ-YYI-936,20%,Confidential - Promo Only
Flash,WIZ-WLH-800,Buy1Get1,Unclassified
Black Friday,WIZ-XGN-148,30%,Unclassified
Summer,WIZ-KXT-294,Free Shipping,Secret
Summer,WIZ-EMA-660,Buy1Get1,Confidential
Valentine,WIZ-CHJ-982,Free Shipping,Unclassified
Summer,WIZ-LLL-082,10%,Confidential - Promo Only
Halloween,WIZ-MGN-687,Buy1Get1,Unclassified
Summer,WIZ-MVA-439,30%,Unclassified
Black Friday,WIZ-KFY-684,10%,Secret
Back to School,WIZ-ITK-266,10%,Confidential - Promo Only
Halloween,WIZ-ZLD-408,10%,Confidential
Flash,WIZ-CLX-074,50%,Secret
Summer,WIZ-LRK-891,20%,Unclassified
Black Friday,WIZ-QSE-909,30%,Confidential - Promo Only
New Year,WIZ-LLR-471,Buy1Get1,Secret
Flash,WIZ-GQG-732,50%,Unclassified
Valentine,WIZ-WLU-002,Buy1Get1,Confidential - Promo Only
Easter,WIZ-JXK-447,10%,Unclassified
Flash,WIZ-ROS-177,Free Shipping,Unclassified
Back to School,WIZ-ZZA-264,Free Shipping,Unclassified
Black Friday,WIZ-WID-593,Free Shipping,Confidential - Promo Only
Valentine,WIZ-BMZ-682,Free Shipping,Confidential
